400000,4,ระบบบริหารการจัดทำฮาลาล,0,0
410000,4.1,ข้อกำหนดด้านเอกสาร,400000,400000
410001,4.1,คู่มือคุณภาพ (QM) ครอบคลุมการผลิตอาหารฮาลาล,400000,400000
420000,4.2,การควบคุมเอกสาร,400000,400000
420001,4.2,มีคู่มือการปฏิบัติงานครอบคลุมการผลิตอาหารฮาลาล,400000,400000
430000,4.3,การควบคุุมบันทึก,400000,400000
430001,4.3,มีการควบคุมเอกสารและบันทึกการปฏิบัติในการผลิตอาหารฮาลาล,400000,400000
440000,4.4,นโยบาย และวัตถุประสงค์ขององค์กร,400000,400000
440001,4.4,มีนโยบายในการผลิตอาหารฮาลาลเป็นลายลักษณ์อักษร/ประกาศรับทราบทั่วกัน,400000,400000
450000,4.5,ตัวแทนผู้บริหารเพื่อรับผิดชอบการผลิตอาหารฮาลาล,400000,400000
450001,4.5,ตัวแทนฝ่ายบริหารด้านฮาลาล (HMR),400000,400000
451000,4.5.1,มีการแต่งตั้ง HMR  ที่เหมาะสม,450001,400000
452000,4.5.2,มีการทบทวนผู้บริหารครอบคลุมการผลิตอาหารฮาลาล,450001,400000
460000,4.6,การสื่อสารภายใน,400000,400000
460001,4.6,มีระบบการสื่อสารเกี่ยวกับการผลิตอาหารฮาลาลในองค์กร  เช่น การประชุม ประกาศ  การทบทวนฝ่ายบริหาร,400000,400000
500000,5,การบริหารทรัพยากร,0,0
510000,5.1,การจัดสรรทรัพยากร,500000,500000
510001,5.1,มีการจัดสรรทรัพยากรในการผลิตอาหาร       ฮาลาลอย่างเหมาะสม และเพียงพอ,500000,500000
520000,5.2,ทรัพยากรมนุษย์,500000,500000
520001,5.2,ทรัพยากรบุคคล,500000,500000
521000,5.2.1,ความสามารถ ความตระหนัก และการฝึกอบรม,520000,500000
521001,5.2.1,ทีมงาน HAL-Q ที่มีคุณสมบัติเหมาะสม,520001,500000
522000,5.2.2,เจ้าหน้าที่ HAL-Q และเจ้าหน้่าที่เชือด,520000,500000
522001,5.2.2,บุคลากรขององค์กรมีความสามารถ /ความตระหนัก / การฝึกอบรมในการผลิตอาหารฮาลาล,520001,500000
523000,5.2.3,สุขลักษณะส่วนบุคคล,520001,500000
523100,5.2.3.1,มีเอกสารและบันทึกการควบคุมดูแลสุขลักษณะส่วนบุคคลที่มีประสิทธิภาพ,523000,500000
523200,5.2.3.2,มีการประเมินประสิทธิภาพการควบคุมสุขลักษณะส่วนบุคคล,523000,500000
523300,5.2.3.3,มีแนวทางการประเมินและจัดการกับสุขภาพพนักงานที่เหมาะสม,523000,500000
523400,5.2.3.4,มีการควบคุมสุขลักษณะส่วนบุคคลและสุขภาพของผู้เยี่ยมชมการผลิตอาหาร     ฮาลาลที่เหมาะสม,523000,500000
530000,5.3,โครงสร้างพื้นฐาน,500000,500000
531100,5.3.1. A,บริเวณภายนอกอาคารผลิตไม่มีความเสี่ยงต่อการปนเปื้อนนญิส/หะรอม,530000,500000
531200,5.3.1. B,บริเวณภายในอาคารผลิตไม่มีความเสี่ยงต่อการปนเปื้อนนญิส/หะรอม,530000,500000
531300,5.3.1. C,สถานที่ผลิตมีการป้องกันการปนเปื้อนนญิส/หะรอมอย่างเหมาะสม,530000,500000
531310,5.3.1. C1,สถานที่จัดเก็บวัตถุดิบ/ส่วนผสม,531300,500000
531320,5.3.1. C2,สถานที่ผลิต,531300,500000
531330,5.3.1. C3,สถานที่จัดเก็บอาหารปรุงสุก/อาหารทางสายให้อาหาร,530000,500000
532100,5.3.2. A,คุณภาพน้ำ/น้ำแข็งที่สัมผัสหรือปรุงอาหารเหมาะสมกับการผลิตอาหารฮาลาล,530000,500000
532200,5.3.2. B,มีสิ่งอำนวยความสะดวกที่เหมาะสมกับการผลิตอาหารฮาลาล,530000,500000
533000,5.3.3,มีระบบการป้องกันการปนเปื้อนนญิส/หะรอมในระหว่างการขนส่งอาหารพร้อมบริโภคที่มีประสิทธิภาพ,530000,500000
534000,5.3.4,มีสภาพแวดล้อมในการทำงานเหมาะสมต่อการผลิตอาหารฮาลาล,530000,500000
600000,6,กระบวนการผลิต,0,0
610000,6.1,กระบวนการผลิต,600000,600000
611000,6.1.1,องค์กรมีการวางแผนการผลิตอาหาร      ฮาลาลตามมาตรฐาน HAL-Q ,610000,600000
620000,6.2,การจัดซื้อ  ,600000,600000
621000,6.2.1,มีกระบวนการจัดซื้อวัตถุดิบและบรรจุภัณฑ์ในการผลิตอาหารฮาลาลที่มีประสิทธิภาพ,620000,600000
622000,6.2.2,ข้อมูลการจัดซื้อ,620000,600000
622100,6.2.2.1,ข้อมูลการจัดซื้อต้องอธิบายถึงผลิตภัณฑ์ที่จัดซื้อ,622000,600000
623000,6.2.3,มีการทวนสอบวัตถุดิบที่จัดซื้อ,620000,600000
623100,6.2.3.1,วัตถุดิบทางการเกษตรสด/แห้ง,623000,600000
623200,6.2.3.2,วัตถุดิบประเภทอาหารทะเล,623000,600000
623300,6.2.3.3,วัตถุดิบประเภทเครื่องปรุงที่ฮาลาลโดยธรรมชาติ (เช่น เกลือ น้ำตาล น้ำ),623000,600000
623400,6.2.3.4,วัตถุดิบประเภทเนื้อสัตว์,623000,600000
623500,6.2.3.5,วัตถุดิบประเภทเครื่องปรุง/ส่วนผสม,623000,600000
623600,6.2.3.6,วัตถุดิบประเภทสารเคมีใช้ในการบริโภค,623000,600000
623700,6.2.3.7,บรรจุภัณฑ์,623000,600000
630000,6.3,การดำเนินการผลิต,600000,600000
631000,6.3.1,การควบคุมการดำเนินการผลิต  ,630000,600000
631100,6.3.1.1,ข้อมูลคุณลักษณะของผลิตภัณฑ์ ,631000,600000
631210,6.3.1.2 A,มีคู่มือปฏิบัติเกี่ยวกับการล้างวัตถุดิบถูกต้องตามหลักศาสนาอิสลาม,631000,600000
631220,6.3.1.2 B,มีคู่มือปฏิบัติเกี่ยวกับการล้างสิ่งปนเปื้อนนญิส /หะรอมถูกต้องตามหลักศาสนาอิสลาม,631000,600000
631300,6.3.1.3,มีคู่มือปฏิบัติอื่นๆที่จำเป็นในการผลิตอาหารฮาลาล,631000,600000
631400,6.3.1.4,มีเครื่องมือที่เหมาะสมกับกระบวนการผลิต,631000,600000
631500,6.3.1.5,มีการสอบเทียบเครื่องมือวัดที่ใช้ในการผลิตอาหารฮาลาลที่มีประสิทธิภาพ,631000,600000
631600,6.3.1.6,มีการตรวจปล่อยและการส่งมอบอาหารพร้อมบริโภคที่มีประสิทธิภาพ,631000,600000
632000,6.3.2,มีระบบการชี้บ่งและการสอบกลับผลิตภัณฑ์อาหารฮาลาล,630000,600000
633000,6.3.3,มีระบบการถนอมรักษาวัตถุดิบ/อาหารพร้อมบริโภคระหว่างกระบวนการผลิต การส่งมอบ และเก็บรักษา,630000,600000
700000,7,การทวนสอบ,0,0
710000,7.1,มีระบบการตรวจประเมินคุณภาพภายในที่ครอบคลุมการผลิตอาหารฮาลาล,700000,700000
720000,7.2,การควบคุมผลิตภัณฑ์ที่ไม่เป็นไปตามข้อกำหนด,700000,700000
721000,7.2.1,มีการควบคุมผลิตภัณฑ์ที่ไม่เป็นไปตามข้อกำหนด,720000,700000
722000,7.2.2,มีระบบการปฏิบัติการแก้ไขและการป้องกันอย่างมีประสิทธิภาพ,720000,700000
723000,7.2.3,มีช่องทางสำหรับลูกค้าในการร้องเรียนผลิตภัณฑ์ที่ไม่เป็นไปตามข้อกำหนด,720000,700000